frame,num_atoms,num_adsorbates,count_As,count_Al,count_Re,count_Co,count_H,count_Si,count_Pt,count_Ti,count_S,count_Te,count_Ca,count_K,count_Se,count_V,count_Zr,count_Ge,count_Mn,count_Bi,count_Sn,count_Ga,count_N,count_Au,count_Hf,count_C,count_O,count_Fe,count_Cs,count_Cl,count_Tc,count_Sc,count_Ni,count_Ta,count_In,count_Ir,count_Rh,count_Os,count_Mo,count_Nb,count_Cr,count_Ag,count_Rb,count_Y,count_Sb,count_Sr,count_Pb,count_Cu,count_Pd,count_Tl,count_Na,count_P,count_Hg,count_Cd,count_Zn,count_Ru,count_W,count_B
10,2871,264,40.0,110.0,0.0,20.0,103,38.0,0.0,84.0,228.0,60.0,86.0,40.0,108.0,0.0,20.0,0.0,44.0,0.0,68.0,172.0,51,20.0,80.0,120,41,0.0,8.0,150.0,0.0,32.0,96.0,39.0,72.0,76.0,0.0,0.0,0.0,52.0,12.0,52.0,16.0,56.0,92.0,30.0,48.0,68.0,92.0,54.0,96.0,70.0,12.0,0.0,72.0,43.0,0.0,0.0
11,3325,331,96.0,88.0,0.0,32.0,228,96.0,48.0,0.0,382.0,80.0,72.0,32.0,92.0,0.0,0.0,52.0,16.0,24.0,16.0,112.0,28,168.0,194.0,59,44,16.0,0.0,80.0,0.0,88.0,32.0,60.0,18.0,42.0,78.0,48.0,0.0,0.0,0.0,36.0,12.0,36.0,48.0,20.0,168.0,64.0,52.0,42.0,144.0,32.0,27.0,0.0,103.0,40.0,80.0,0.0
12,2791,221,150.0,36.0,0.0,0.0,87,114.0,48.0,32.0,120.0,52.0,52.0,16.0,72.0,186.0,88.0,36.0,16.0,60.0,80.0,32.0,200,98.0,16.0,96,38,48.0,32.0,0.0,48.0,0.0,0.0,0.0,136.0,16.0,120.0,0.0,0.0,0.0,0.0,66.0,32.0,32.0,0.0,54.0,0.0,92.0,72.0,0.0,86.0,32.0,0.0,36.0,108.0,56.0,0.0,0.0
13,2979,344,32.0,164.0,24.0,0.0,241,0.0,24.0,66.0,240.0,24.0,0.0,8.0,194.0,48.0,88.0,16.0,16.0,12.0,30.0,316.0,43,30.0,66.0,55,48,28.0,0.0,40.0,24.0,48.0,48.0,144.0,60.0,0.0,8.0,21.0,58.0,84.0,32.0,82.0,0.0,28.0,32.0,42.0,60.0,90.0,68.0,0.0,66.0,12.0,28.0,0.0,74.0,8.0,9.0,0.0
14,2982,184,93.0,136.0,0.0,24.0,79,108.0,97.0,48.0,88.0,12.0,272.0,48.0,72.0,48.0,38.0,72.0,24.0,24.0,80.0,72.0,38,164.0,36.0,55,50,0.0,19.0,81.0,0.0,88.0,24.0,54.0,88.0,24.0,12.0,0.0,42.0,0.0,16.0,32.0,72.0,72.0,0.0,88.0,88.0,0.0,0.0,24.0,24.0,220.0,15.0,44.0,77.0,0.0,0.0,0.0
15,2986,173,64.0,30.0,0.0,132.0,85,88.0,170.0,66.0,308.0,48.0,30.0,24.0,116.0,0.0,0.0,12.0,16.0,72.0,66.0,210.0,23,8.0,48.0,49,39,12.0,8.0,48.0,24.0,114.0,80.0,120.0,32.0,20.0,64.0,0.0,16.0,0.0,0.0,24.0,0.0,36.0,80.0,80.0,0.0,72.0,112.0,64.0,88.0,108.0,0.0,0.0,32.0,48.0,0.0,0.0
16,2842,223,148.0,0.0,24.0,14.0,98,16.0,32.0,138.0,252.0,94.0,48.0,16.0,216.0,30.0,0.0,76.0,0.0,32.0,6.0,24.0,25,40.0,96.0,87,38,40.0,0.0,96.0,0.0,30.0,184.0,78.0,52.0,8.0,20.0,0.0,24.0,32.0,68.0,0.0,0.0,8.0,66.0,12.0,24.0,122.0,80.0,12.0,54.0,76.0,10.0,0.0,8.0,24.0,164.0,0.0
17,2879,309,68.0,55.0,0.0,0.0,175,172.0,15.0,38.0,160.0,136.0,136.0,24.0,92.0,80.0,87.0,48.0,0.0,32.0,32.0,188.0,61,0.0,102.0,96,38,12.0,22.0,44.0,0.0,4.0,48.0,0.0,162.0,0.0,32.0,0.0,0.0,40.0,10.0,36.0,52.0,26.0,150.0,84.0,16.0,0.0,32.0,0.0,0.0,96.0,54.0,52.0,36.0,36.0,0.0,0.0
18,3110,362,64.0,132.0,64.0,16.0,242,120.0,48.0,128.0,200.0,84.0,90.0,72.0,106.0,22.0,8.0,48.0,36.0,0.0,108.0,56.0,188,132.0,0.0,72,48,0.0,16.0,24.0,16.0,64.0,36.0,64.0,80.0,30.0,24.0,48.0,0.0,24.0,8.0,32.0,56.0,40.0,40.0,0.0,32.0,58.0,16.0,0.0,116.0,40.0,42.0,48.0,24.0,48.0,0.0,0.0
19,3081,499,116.0,32.0,6.0,68.0,281,161.0,0.0,36.0,32.0,80.0,126.0,64.0,120.0,92.0,32.0,21.0,30.0,4.0,200.0,0.0,14,72.0,96.0,172,46,0.0,16.0,84.0,0.0,64.0,44.0,48.0,48.0,16.0,12.0,0.0,64.0,0.0,0.0,36.0,16.0,16.0,32.0,80.0,48.0,200.0,32.0,36.0,48.0,80.0,72.0,0.0,88.0,0.0,0.0,0.0
20,2859,321,72.0,24.0,0.0,30.0,230,24.0,36.0,50.0,276.0,226.0,84.0,70.0,98.0,12.0,56.0,32.0,12.0,84.0,32.0,224.0,26,108.0,48.0,50,41,6.0,0.0,24.0,0.0,0.0,28.0,0.0,54.0,0.0,48.0,0.0,18.0,0.0,0.0,90.0,80.0,32.0,82.0,18.0,92.0,94.0,120.0,0.0,0.0,32.0,44.0,0.0,12.0,40.0,0.0,0.0
21,2930,208,20.0,48.0,0.0,36.0,119,124.0,126.0,136.0,274.0,184.0,10.0,96.0,84.0,18.0,40.0,8.0,0.0,64.0,26.0,48.0,35,16.0,162.0,52,37,24.0,0.0,102.0,0.0,88.0,56.0,56.0,34.0,86.0,108.0,0.0,48.0,0.0,0.0,18.0,0.0,24.0,40.0,32.0,56.0,118.0,0.0,105.0,24.0,60.0,36.0,52.0,0.0,0.0,0.0,0.0
22,2830,292,64.0,156.0,0.0,22.0,189,36.0,0.0,134.0,152.0,196.0,104.0,12.0,54.0,18.0,32.0,76.0,0.0,12.0,20.0,100.0,53,40.0,92.0,56,47,24.0,24.0,0.0,24.0,27.0,52.0,12.0,128.0,0.0,24.0,0.0,21.0,16.0,0.0,12.0,0.0,36.0,0.0,104.0,12.0,27.0,90.0,0.0,80.0,32.0,18.0,92.0,214.0,48.0,48.0,0.0
23,2953,361,0.0,48.0,32.0,0.0,257,136.0,72.0,100.0,136.0,84.0,8.0,48.0,208.0,24.0,116.0,8.0,56.0,12.0,32.0,68.0,50,24.0,56.0,59,45,40.0,24.0,148.0,36.0,104.0,8.0,0.0,44.0,0.0,54.0,0.0,0.0,54.0,24.0,72.0,36.0,64.0,0.0,0.0,152.0,6.0,32.0,32.0,16.0,48.0,18.0,52.0,168.0,0.0,42.0,0.0
24,2973,206,122.0,134.0,16.0,56.0,115,16.0,128.0,144.0,196.0,16.0,66.0,16.0,16.0,24.0,20.0,0.0,36.0,38.0,16.0,72.0,57,56.0,24.0,55,36,80.0,0.0,138.0,0.0,70.0,70.0,36.0,16.0,44.0,222.0,24.0,12.0,40.0,0.0,36.0,0.0,38.0,32.0,40.0,24.0,48.0,124.0,20.0,158.0,32.0,40.0,16.0,52.0,60.0,26.0,0.0
25,3168,502,48.0,196.0,0.0,24.0,393,60.0,16.0,92.0,148.0,40.0,16.0,32.0,122.0,0.0,122.0,16.0,0.0,44.0,75.0,32.0,27,36.0,86.0,67,42,18.0,56.0,148.0,0.0,48.0,112.0,4.0,36.0,36.0,0.0,16.0,162.0,38.0,124.0,0.0,0.0,12.0,24.0,32.0,72.0,100.0,96.0,0.0,64.0,34.0,110.0,28.0,64.0,0.0,0.0,0.0
26,2740,267,88.0,48.0,84.0,57.0,185,120.0,184.0,108.0,134.0,78.0,80.0,16.0,112.0,36.0,16.0,48.0,0.0,0.0,8.0,0.0,141,24.0,0.0,42,40,23.0,20.0,96.0,0.0,12.0,30.0,12.0,80.0,52.0,12.0,0.0,36.0,24.0,0.0,84.0,24.0,40.0,154.0,32.0,8.0,56.0,48.0,6.0,124.0,32.0,32.0,24.0,30.0,0.0,0.0,0.0
27,2948,202,32.0,100.0,27.0,50.0,89,88.0,66.0,79.0,316.0,164.0,141.0,0.0,112.0,0.0,0.0,24.0,80.0,8.0,20.0,16.0,47,84.0,80.0,66,47,42.0,16.0,40.0,0.0,0.0,204.0,24.0,74.0,32.0,177.0,0.0,48.0,122.0,0.0,92.0,64.0,18.0,24.0,16.0,92.0,31.0,0.0,16.0,24.0,32.0,0.0,0.0,16.0,0.0,8.0,0.0
28,3202,381,80.0,96.0,32.0,3.0,278,32.0,12.0,48.0,48.0,84.0,36.0,56.0,180.0,108.0,0.0,88.0,24.0,0.0,0.0,48.0,71,80.0,27.0,56,47,72.0,0.0,36.0,60.0,30.0,0.0,0.0,48.0,84.0,60.0,32.0,36.0,18.0,0.0,36.0,40.0,160.0,32.0,24.0,124.0,160.0,0.0,0.0,160.0,232.0,24.0,56.0,48.0,72.0,24.0,0.0
29,2758,267,0.0,168.0,0.0,88.0,136,4.0,194.0,0.0,124.0,158.0,76.0,32.0,60.0,0.0,28.0,184.0,0.0,12.0,24.0,16.0,93,0.0,0.0,88,43,56.0,0.0,210.0,0.0,18.0,24.0,8.0,88.0,32.0,8.0,16.0,66.0,64.0,24.0,60.0,84.0,0.0,28.0,40.0,8.0,44.0,32.0,16.0,16.0,112.0,28.0,48.0,36.0,0.0,64.0,0.0
30,2675,199,272.0,144.0,0.0,0.0,98,56.0,18.0,126.0,164.0,64.0,164.0,0.0,72.0,72.0,74.0,60.0,32.0,36.0,32.0,44.0,36,32.0,64.0,56,45,12.0,0.0,0.0,0.0,0.0,132.0,0.0,60.0,32.0,0.0,0.0,48.0,0.0,0.0,32.0,0.0,12.0,84.0,36.0,20.0,84.0,50.0,12.0,38.0,24.0,30.0,56.0,140.0,0.0,12.0,0.0
31,2905,251,116.0,0.0,0.0,192.0,155,168.0,0.0,74.0,168.0,32.0,0.0,96.0,48.0,140.0,0.0,140.0,36.0,0.0,84.0,70.0,44,12.0,60.0,56,40,24.0,64.0,96.0,0.0,30.0,42.0,0.0,0.0,0.0,54.0,72.0,104.0,24.0,54.0,30.0,48.0,24.0,0.0,18.0,36.0,18.0,124.0,0.0,100.0,48.0,10.0,0.0,90.0,40.0,24.0,0.0
32,3118,344,96.0,105.0,20.0,34.0,258,91.0,80.0,6.0,140.0,36.0,72.0,20.0,128.0,40.0,40.0,0.0,0.0,80.0,16.0,262.0,19,16.0,60.0,45,41,0.0,42.0,32.0,20.0,82.0,0.0,24.0,143.0,32.0,0.0,0.0,0.0,0.0,0.0,80.0,108.0,56.0,60.0,16.0,124.0,122.0,200.0,0.0,32.0,32.0,16.0,0.0,6.0,32.0,154.0,0.0
33,2948,193,132.0,140.0,0.0,24.0,101,0.0,0.0,0.0,96.0,56.0,32.0,16.0,314.0,0.0,100.0,76.0,0.0,0.0,108.0,158.0,48,136.0,120.0,49,43,24.0,8.0,60.0,64.0,54.0,72.0,12.0,68.0,0.0,36.0,56.0,48.0,9.0,0.0,32.0,0.0,48.0,40.0,36.0,44.0,124.0,20.0,0.0,96.0,72.0,0.0,48.0,112.0,16.0,0.0,0.0
34,2777,280,32.0,128.0,0.0,24.0,97,56.0,0.0,88.0,270.0,120.0,60.0,44.0,64.0,38.0,36.0,23.0,32.0,0.0,58.0,0.0,63,16.0,76.0,138,45,78.0,0.0,24.0,18.0,30.0,28.0,42.0,52.0,50.0,96.0,0.0,60.0,84.0,0.0,36.0,32.0,72.0,57.0,72.0,16.0,16.0,48.0,36.0,28.0,124.0,12.0,0.0,36.0,74.0,48.0,0.0
35,2952,308,16.0,134.0,48.0,16.0,211,140.0,0.0,196.0,200.0,82.0,136.0,64.0,182.0,12.0,0.0,12.0,18.0,16.0,32.0,53.0,64,8.0,24.0,57,40,57.0,0.0,80.0,24.0,74.0,104.0,0.0,80.0,0.0,84.0,0.0,0.0,0.0,56.0,80.0,0.0,0.0,0.0,20.0,36.0,16.0,48.0,0.0,28.0,284.0,48.0,0.0,0.0,72.0,0.0,0.0
36,3066,318,80.0,36.0,72.0,24.0,154,148.0,174.0,56.0,304.0,148.0,34.0,40.0,104.0,96.0,20.0,42.0,12.0,8.0,80.0,60.0,25,0.0,24.0,121,43,0.0,0.0,44.0,0.0,88.0,56.0,0.0,78.0,0.0,60.0,0.0,104.0,158.0,48.0,32.0,40.0,60.0,32.0,104.0,16.0,29.0,0.0,64.0,28.0,40.0,0.0,18.0,30.0,32.0,0.0,0.0
37,2964,185,52.0,104.0,0.0,38.0,93,88.0,64.0,124.0,248.0,30.0,34.0,26.0,176.0,0.0,68.0,0.0,12.0,40.0,100.0,72.0,47,84.0,112.0,51,41,42.0,64.0,72.0,48.0,24.0,216.0,0.0,34.0,0.0,0.0,0.0,176.0,92.0,48.0,0.0,0.0,40.0,48.0,12.0,44.0,24.0,56.0,0.0,0.0,48.0,0.0,32.0,92.0,48.0,0.0,0.0
38,2830,185,0.0,41.0,0.0,8.0,87,48.0,106.0,60.0,180.0,64.0,88.0,40.0,100.0,140.0,142.0,88.0,24.0,186.0,48.0,108.0,97,48.0,116.0,54,44,24.0,6.0,0.0,0.0,24.0,52.0,0.0,101.0,48.0,0.0,0.0,0.0,56.0,84.0,90.0,12.0,16.0,48.0,24.0,0.0,0.0,108.0,10.0,0.0,90.0,0.0,32.0,0.0,40.0,48.0,0.0
39,2867,266,0.0,56.0,8.0,24.0,175,116.0,98.0,96.0,163.0,132.0,28.0,24.0,144.0,64.0,32.0,36.0,0.0,48.0,36.0,32.0,117,120.0,32.0,50,41,0.0,0.0,196.0,8.0,47.0,0.0,56.0,12.0,0.0,0.0,24.0,16.0,64.0,60.0,24.0,64.0,24.0,24.0,0.0,0.0,76.0,50.0,0.0,48.0,128.0,16.0,56.0,54.0,92.0,56.0,0.0
40,3058,170,190.0,36.0,72.0,48.0,78,168.0,16.0,88.0,120.0,52.0,16.0,48.0,266.0,119.0,48.0,60.0,0.0,36.0,20.0,32.0,43,144.0,126.0,51,41,0.0,0.0,16.0,0.0,16.0,148.0,60.0,70.0,56.0,12.0,54.0,34.0,24.0,36.0,0.0,16.0,80.0,20.0,24.0,24.0,44.0,70.0,32.0,16.0,102.0,108.0,48.0,30.0,0.0,0.0,0.0
41,3259,342,116.0,76.0,0.0,40.0,239,0.0,104.0,136.0,40.0,64.0,194.0,25.0,88.0,8.0,48.0,0.0,64.0,40.0,48.0,48.0,76,56.0,60.0,59,44,0.0,0.0,48.0,16.0,54.0,52.0,12.0,52.0,16.0,144.0,0.0,0.0,16.0,96.0,68.0,0.0,126.0,60.0,64.0,64.0,32.0,48.0,0.0,258.0,128.0,0.0,20.0,152.0,60.0,0.0,0.0
42,3220,370,0.0,194.0,0.0,16.0,275,60.0,24.0,100.0,242.0,96.0,76.0,32.0,198.0,0.0,0.0,100.0,56.0,24.0,62.0,148.0,144,90.0,67.0,50,45,0.0,0.0,0.0,0.0,64.0,16.0,92.0,160.0,0.0,24.0,0.0,0.0,12.0,27.0,104.0,30.0,62.0,40.0,24.0,0.0,63.0,39.0,0.0,88.0,0.0,132.0,24.0,120.0,0.0,0.0,0.0
43,3422,368,186.0,60.0,42.0,36.0,262,80.0,40.0,160.0,330.0,180.0,64.0,16.0,280.0,72.0,6.0,48.0,0.0,36.0,108.0,116.0,27,40.0,36.0,72,34,9.0,6.0,18.0,0.0,0.0,157.0,0.0,60.0,0.0,32.0,0.0,24.0,0.0,0.0,68.0,30.0,0.0,88.0,76.0,0.0,92.0,164.0,0.0,24.0,165.0,48.0,6.0,24.0,0.0,0.0,0.0
44,2886,340,98.0,60.0,24.0,0.0,225,60.0,0.0,82.0,167.0,116.0,86.0,44.0,48.0,54.0,32.0,0.0,28.0,16.0,0.0,204.0,109,56.0,100.0,56,59,100.0,24.0,58.0,0.0,44.0,0.0,48.0,24.0,16.0,48.0,0.0,0.0,0.0,0.0,32.0,20.0,48.0,194.0,32.0,0.0,28.0,24.0,54.0,64.0,48.0,32.0,56.0,0.0,72.0,96.0,0.0
45,3053,192,60.0,152.0,0.0,24.0,98,24.0,72.0,182.0,184.0,40.0,48.0,0.0,40.0,48.0,32.0,132.0,0.0,16.0,32.0,144.0,183,0.0,104.0,51,43,146.0,8.0,118.0,34.0,32.0,84.0,80.0,116.0,48.0,0.0,8.0,0.0,36.0,0.0,64.0,24.0,36.0,24.0,48.0,24.0,24.0,124.0,32.0,124.0,56.0,6.0,0.0,24.0,0.0,24.0,0.0
46,2899,352,123.0,77.0,0.0,0.0,258,0.0,0.0,232.0,334.0,98.0,30.0,63.0,48.0,0.0,16.0,24.0,0.0,0.0,69.0,94.0,17,66.0,12.0,51,43,0.0,72.0,164.0,0.0,30.0,124.0,158.0,64.0,0.0,0.0,0.0,60.0,20.0,18.0,0.0,26.0,27.0,175.0,8.0,14.0,0.0,44.0,48.0,114.0,0.0,42.0,0.0,36.0,0.0,0.0,0.0
47,3094,331,12.0,152.0,0.0,12.0,248,148.0,48.0,220.0,334.0,24.0,24.0,0.0,216.0,0.0,108.0,24.0,76.0,24.0,72.0,24.0,101,32.0,0.0,48,35,0.0,8.0,0.0,40.0,180.0,0.0,0.0,20.0,24.0,80.0,0.0,69.0,0.0,0.0,32.0,0.0,110.0,24.0,36.0,0.0,48.0,12.0,27.0,64.0,0.0,16.0,8.0,244.0,52.0,18.0,0.0
48,2428,208,0.0,32.0,0.0,64.0,114,56.0,0.0,60.0,108.0,8.0,80.0,16.0,56.0,0.0,36.0,12.0,40.0,0.0,24.0,114.0,16,40.0,100.0,50,44,48.0,56.0,64.0,34.0,30.0,104.0,0.0,122.0,0.0,12.0,0.0,0.0,60.0,0.0,86.0,24.0,60.0,76.0,12.0,24.0,158.0,108.0,24.0,68.0,0.0,0.0,12.0,82.0,94.0,0.0,0.0
49,3198,560,4.0,108.0,48.0,52.0,451,32.0,6.0,54.0,236.0,232.0,104.0,12.0,102.0,100.0,62.0,72.0,18.0,20.0,88.0,96.0,8,0.0,132.0,63,46,32.0,20.0,12.0,48.0,32.0,24.0,40.0,0.0,66.0,48.0,0.0,12.0,48.0,16.0,0.0,0.0,20.0,48.0,8.0,0.0,50.0,56.0,0.0,210.0,16.0,20.0,76.0,118.0,32.0,0.0,0.0
50,2886,480,48.0,68.0,0.0,56.0,381,48.0,0.0,0.0,220.0,0.0,48.0,8.0,164.0,88.0,36.0,38.0,24.0,24.0,40.0,72.0,18,68.0,0.0,57,42,0.0,6.0,54.0,0.0,100.0,12.0,0.0,84.0,0.0,40.0,36.0,20.0,72.0,0.0,176.0,12.0,32.0,0.0,36.0,70.0,156.0,120.0,0.0,92.0,24.0,44.0,8.0,60.0,48.0,36.0,0.0
51,2684,317,0.0,64.0,0.0,44.0,167,0.0,12.0,98.0,166.0,84.0,155.0,112.0,60.0,12.0,0.0,24.0,22.0,96.0,0.0,98.0,80,24.0,20.0,115,35,0.0,36.0,164.0,0.0,24.0,40.0,48.0,44.0,0.0,32.0,0.0,0.0,8.0,54.0,42.0,8.0,62.0,68.0,48.0,16.0,104.0,188.0,8.0,8.0,0.0,24.0,0.0,54.0,80.0,36.0,0.0
52,2975,384,16.0,64.0,0.0,24.0,289,106.0,24.0,102.0,60.0,112.0,48.0,84.0,64.0,128.0,90.0,80.0,0.0,16.0,28.0,182.0,18,80.0,0.0,53,42,0.0,48.0,120.0,0.0,48.0,24.0,90.0,66.0,64.0,96.0,0.0,9.0,48.0,0.0,0.0,132.0,128.0,48.0,32.0,16.0,92.0,56.0,0.0,0.0,116.0,0.0,0.0,32.0,0.0,0.0,0.0
53,2947,204,0.0,24.0,0.0,48.0,100,60.0,122.0,138.0,208.0,148.0,34.0,24.0,112.0,24.0,159.0,16.0,40.0,0.0,76.0,84.0,13,80.0,48.0,57,47,0.0,10.0,128.0,0.0,78.0,60.0,72.0,87.0,15.0,186.0,0.0,24.0,60.0,0.0,50.0,0.0,0.0,30.0,48.0,60.0,64.0,34.0,0.0,62.0,94.0,38.0,0.0,67.0,18.0,0.0,0.0
54,3063,220,132.0,157.0,0.0,30.0,136,272.0,64.0,96.0,228.0,56.0,68.0,0.0,132.0,72.0,36.0,0.0,16.0,0.0,64.0,168.0,115,32.0,56.0,44,40,16.0,0.0,40.0,0.0,48.0,148.0,80.0,68.0,48.0,136.0,48.0,16.0,0.0,48.0,0.0,18.0,0.0,60.0,40.0,32.0,57.0,16.0,0.0,12.0,24.0,0.0,0.0,0.0,76.0,18.0,0.0
55,3065,250,0.0,120.0,66.0,26.0,151,88.0,64.0,0.0,244.0,140.0,18.0,146.0,88.0,42.0,42.0,56.0,0.0,0.0,12.0,16.0,13,40.0,214.0,57,42,48.0,0.0,81.0,0.0,0.0,32.0,18.0,24.0,0.0,90.0,108.0,32.0,18.0,18.0,48.0,0.0,56.0,56.0,12.0,80.0,67.0,40.0,48.0,176.0,110.0,30.0,16.0,172.0,0.0,0.0,0.0
56,2675,227,88.0,80.0,0.0,40.0,138,16.0,136.0,74.0,108.0,12.0,168.0,74.0,90.0,88.0,210.0,80.0,12.0,12.0,42.0,152.0,20,64.0,144.0,50,39,80.0,0.0,48.0,0.0,64.0,88.0,28.0,32.0,24.0,0.0,0.0,42.0,16.0,0.0,56.0,0.0,0.0,16.0,0.0,40.0,60.0,0.0,64.0,0.0,12.0,4.0,16.0,0.0,48.0,0.0,0.0
57,2828,229,48.0,32.0,0.0,72.0,99,48.0,0.0,254.0,46.0,120.0,100.0,32.0,32.0,0.0,24.0,58.0,0.0,8.0,20.0,12.0,39,60.0,60.0,89,41,16.0,32.0,0.0,48.0,40.0,126.0,132.0,38.0,18.0,12.0,0.0,0.0,16.0,18.0,16.0,16.0,78.0,22.0,54.0,36.0,48.0,196.0,92.0,46.0,72.0,8.0,12.0,124.0,152.0,66.0,0.0
58,3103,245,0.0,70.0,48.0,20.0,97,92.0,60.0,219.0,168.0,108.0,0.0,84.0,96.0,54.0,0.0,100.0,76.0,0.0,20.0,80.0,147,54.0,72.0,111,37,20.0,32.0,58.0,0.0,88.0,122.0,6.0,68.0,0.0,60.0,0.0,0.0,40.0,36.0,92.0,64.0,12.0,38.0,16.0,0.0,0.0,76.0,24.0,46.0,216.0,10.0,64.0,18.0,72.0,12.0,0.0
